,"cln3-1","cln3-2","clb2-2","clb2-1","alpha0","alpha7","alpha14","alpha21","alpha28","alpha35","alpha42","alpha49","alpha56","alpha63","alpha70","alpha77","alpha84","alpha91","alpha98","alpha105","alpha112","alpha119","cdc15_10","cdc15_30","cdc15_50","cdc15_70","cdc15_80","cdc15_90","cdc15_100","cdc15_110","cdc15_120","cdc15_130","cdc15_140","cdc15_150","cdc15_160","cdc15_170","cdc15_180","cdc15_190","cdc15_200","cdc15_210","cdc15_220","cdc15_230","cdc15_240","cdc15_250","cdc15_270","cdc15_290","cdc28_0","cdc28_10","cdc28_20","cdc28_30","cdc28_40","cdc28_50","cdc28_60","cdc28_70","cdc28_80","cdc28_90","cdc28_100","cdc28_110","cdc28_120","cdc28_130","cdc28_140","cdc28_150","cdc28_160","elu0","elu30","elu60","elu90","elu120","elu150","elu180","elu210","elu240","elu270","elu300","elu330","elu360","elu390"
"YHR003C",-0.79,-0.51,-0.15,-0.01,-0.07,-0.13,-0.21,-0.17,-0.17,0.05,-0.19,-0.07,0.33,0.5,0.24,,0.12,-0.4,-0.05,-0.04,0.1,0.15,,0.41,0.04,-0.61,0.01,-0.68,0.3,-0.13,0.16,-0.73,0.2,1.07,0.12,0.74,0.15,-0.47,-0.17,-0.71,0.37,0.58,0.69,-0.87,-0.03,-0.43,0.13,0.31,0.11,0.09,-0.02,-0.01,0.13,0.27,0.11,-0.15,-0.08,-0.27,-0.36,-0.19,,-0.14,0.07,-0.17,0.06,-0.07,0.15,0.06,0.09,-0.1,0.31,0.05,0.13,-0.21,-0.29,-0.07,0.05
"YHR004C",0.52,-0.49,-0.17,-0.45,0.01,0.51,-0.09,0.14,-0.19,0.43,-0.18,0.21,-0.09,0.01,-0.44,-0.02,-0.04,-0.16,-0.16,0,-0.19,0.25,0.83,0.37,-0.18,-0.09,0.07,-0.62,-0.12,-0.12,0.29,-0.34,-0.36,-0.34,0,0,0.3,-0.38,-0.16,-0.22,0.55,0.34,0.37,-0.09,-0.2,0.08,0.35,-0.15,-0.11,0.57,-0.05,-0.23,0.01,0.2,0.1,-0.35,0.06,-0.07,0.18,-0.03,-0.07,-0.3,-0.13,1.07,0.21,0.32,0.47,-0.07,-0.03,-0.14,-0.25,-0.52,-0.52,-0.01,-0.04,-0.37,-0.12
"YHR005C",-0.92,,,0.77,0.99,0.75,0.05,-0.42,-1.01,-0.4,-1.01,-0.4,0.1,0.88,0.84,0.62,0.01,-0.63,-0.84,-0.28,0.1,0.65,0.72,0.72,-1.23,-1.08,-1.72,-0.48,-0.31,0.58,0.09,0.87,0.25,-0.07,-0.72,-0.62,-0.75,-0.59,-0.98,0.15,-0.03,1.61,0.35,1.29,0.98,0.94,-0.15,0.32,0.23,-0.76,-1.16,-0.9,-0.23,0.28,0.45,0.99,0.99,0.2,-0.28,-0.53,,0,0.54,-0.88,0.08,-0.03,0.51,0.53,0.29,0.06,-0.09,-0.24,0.03,0.27,-0.22,-0.32,0.01
"YHR005C-A",-0.51,,,0.15,,,,,,,,,,,,,,,,,,,-0.34,-0.17,-0.31,0.18,-0.24,-0.43,0.21,0,0.09,-0.27,0.33,0.59,0.01,0.33,0.2,-0.25,-0.58,0.17,0.19,0.88,0.31,-0.36,-0.76,0.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"YHR006W",-0.3,-0.67,-0.4,0.43,0.34,-0.23,-0.03,-0.48,0.17,0.09,0.31,0.01,0.01,-0.21,-0.21,-0.25,-0.13,-0.07,0.06,0.22,-0.19,0.57,0.09,0.21,0.84,0.59,-0.69,0.41,-0.05,0.22,-0.72,0.44,-0.29,0.1,-0.64,0.15,-0.25,0.02,-0.54,0.28,-0.93,-0.47,-0.42,0.66,0.46,0.52,-0.59,-0.67,-0.81,0.05,0.11,0.5,0.05,0.19,0.05,-0.49,-0.13,0.09,0.29,0.36,0.42,0.28,0.32,0.47,-0.44,-0.03,0.17,0.02,0.07,0.02,0.11,0.13,0.04,-0.17,-0.11,-0.02,-0.26
"YHR007C",-0.47,-0.1,0.31,0.33,-0.12,-0.85,-0.12,-0.72,-0.04,-0.03,0.61,0.27,0.33,-0.04,0.15,-0.03,0.12,-0.14,0.27,-0.01,0.39,-0.03,-0.21,-0.26,-0.3,0.44,0.79,0.52,0.59,0.2,0.49,0.26,0.24,0.21,0.03,-0.12,0.03,0.15,0.24,0.11,-0.26,-0.91,-0.71,-0.4,-0.49,-0.63,-0.4,-0.39,0.14,-0.29,0.02,-0.2,-0.26,-0.41,-0.37,0.92,,0.22,-0.01,0.05,0.15,0.35,0.46,-1.22,0.75,0.16,0.33,0.23,0.18,-0.33,-0.24,0.02,0.27,-0.16,0.06,0.06,-0.1
"YHR008C",0.26,-1.06,-0.4,0.64,0.06,0.04,0.36,0.3,0.16,-0.15,-0.01,-0.36,-0.02,-0.38,-0.06,0.06,0.06,-0.21,0.08,-0.06,0.13,0.01,0.46,-0.02,-0.45,-0.05,-1.06,0.08,-0.54,0.06,-0.98,0.54,0.2,0.39,-0.38,0.33,-0.05,-0.13,-0.48,0.44,-0.34,-0.05,0.41,-0.01,0.69,0.9,0.49,0.06,0.02,-0.24,-0.2,-0.28,-0.57,-0.57,-0.31,0.46,0.12,0.11,0.32,,-0.09,0.2,0.49,0.53,-0.29,0.18,0.11,-0.31,-0.15,-0.22,0.04,0.1,-0.24,-0.17,0.04,0.46,-0.09
"YHR009C",0.23,,,0.29,0.41,-0.07,0.1,-0.01,0.13,-0.19,0.05,-0.03,0.06,-0.19,0.03,-0.17,0.01,-0.28,0.22,-0.09,0.35,-0.35,0.23,-0.09,0.07,0.13,0.19,0.12,-0.02,-0.04,0.01,0.2,-0.45,-0.04,-0.3,-0.16,-0.05,0.04,-0.02,0.17,-0.27,-0.29,-0.29,0.33,0.28,0.24,0.06,0.08,-0.03,0.07,0.01,0.23,-0.11,-0.13,0.01,-0.36,-0.05,0.05,0.45,-0.18,,-0.14,0.04,0.13,-0.42,-0.23,-0.49,-0.19,-0.05,-0.07,0.05,0.67,0.29,-0.51,0.68,0.1,0.04
"YHR010W",-0.29,-0.43,0.07,0.32,0,-0.25,-0.25,-0.12,-0.3,-0.09,-0.27,0.15,0.27,0.01,0.26,0.01,0.05,0.06,0.07,0.13,0.16,0.11,-0.11,0.12,0.32,0.21,0.61,-0.13,0.25,0.1,0.18,0.01,0.18,0.01,-0.03,0.4,-0.28,-0.38,-0.21,0.01,-0.24,0.55,-0.71,-0.33,-0.42,-0.09,0.04,0,0.6,0.32,0.22,-0.11,0.09,-0.02,-0.26,,-3.07,0.19,0.24,0.26,0.18,0.67,0.64,-0.87,-0.14,0.37,0.81,0.39,0.53,0.36,0.28,-0.15,-0.19,0.11,-0.76,-0.39,-0.34
"YHR011W",-0.34,,,0.3,0.97,0.06,0.09,-0.1,0.07,-0.25,-0.12,0.06,-0.2,0.02,0.06,0.17,-0.21,-0.41,-0.18,-0.1,0.35,-0.27,-1.08,-0.06,-0.45,-0.73,-0.43,-0.45,-0.03,-0.45,-0.37,0.15,0.41,0.33,-0.23,0.61,-0.2,-0.27,0.02,-0.27,0.11,0.65,0.62,0.8,0.75,0.56,0.43,-0.22,-0.84,-0.63,0,0.18,-0.06,-0.28,-0.14,0.98,0.41,0.52,0.05,0.16,-0.14,-0.35,-0.08,-0.44,-0.22,-0.29,0.07,0.05,-0.14,-0.04,0.44,0.33,0.2,-0.13,0.29,0.28,-0.41
"YHR012W",0.06,-0.15,-0.42,-0.17,0.36,-0.16,0.13,0.07,0.06,-0.27,0.33,-0.14,0.06,0.07,0.01,-0.01,0.12,-0.17,-0.07,-0.36,0.06,-0.09,-0.08,0.25,0.17,0.17,-0.08,0.04,-0.05,0.17,-0.39,-0.24,-0.52,-0.07,-0.26,0.04,-0.13,-0.3,-0.08,0.06,0.51,0.07,0.29,0.2,-0.01,0.26,0.19,-0.09,-0.05,-0.02,-0.52,-0.34,-0.2,-0.25,0.19,0.17,0.38,0.18,0.14,-0.04,0.37,0.02,-0.13,0.11,0.11,-0.2,-0.22,-0.22,-0.32,-0.22,0.03,0.2,0.05,0.16,0.2,0.2,0.1
"YHR013C",0.04,-0.23,-0.12,0.18,0.11,-0.09,0.35,-0.15,0.21,-0.02,0.14,-0.04,-0.01,0.21,-0.07,0.14,0.01,-0.28,0.11,-0.24,-0.11,-0.26,,0.54,0.45,0.16,-1.04,0.2,-0.51,0.1,-1.11,0.41,-0.54,0.26,-0.69,0.25,-0.09,0.11,0.81,0.2,-0.67,-0.09,-0.37,0.67,0.31,0.64,-0.53,0.03,-0.21,-0.26,-0.14,-0.1,0.01,-0.18,0.29,0.12,0.4,0.46,-0.29,,0.63,-0.06,-0.18,-0.35,-0.44,-0.16,0.09,0.35,0.2,0.14,0.31,0.13,0.11,0.16,-0.13,-0.21,-0.21
"YHR014W",0.49,,0.31,-0.17,0.32,-0.2,0.19,0,0.34,-0.08,0.06,0.02,0.06,0.05,-0.53,-0.1,0.08,-0.03,-0.13,-0.2,0.11,0.06,-0.18,0.17,-0.01,0.25,0.49,-0.28,0.71,0.16,0.4,-0.1,-0.18,0.25,0.1,-0.16,,-0.47,,-0.64,,-0.05,0.85,-0.51,-0.43,-0.39,1.25,1.27,0.97,1.04,0.37,0.02,0.25,0.07,-0.37,-0.7,-0.57,-0.75,-0.37,-0.61,-0.49,-0.85,-0.53,-0.01,0.14,-0.01,0.01,0.27,0.07,-0.08,-0.28,0.05,-0.08,0.1,-0.01,-0.15,-0.01
"YHR015W",0.99,-1,-0.58,0.03,0.04,-0.08,0.29,-0.16,0.08,-0.23,0.01,-0.16,-0.07,0.14,0.12,-0.07,0.04,-0.23,0.08,-0.04,0.23,0.01,-0.75,-0.35,-0.52,0.49,0.03,0.34,0.23,0.32,-0.05,0.51,-0.15,0.47,-0.32,0.48,-0.28,0.13,-0.11,0.32,-0.09,-0.72,0.37,-0.6,0.23,0.01,1.18,0.72,0.31,0.17,-0.23,-0.36,-0.01,-0.26,-0.23,-0.04,0.15,-0.1,-0.07,-0.19,-0.1,-0.69,-0.26,0.15,0.1,-0.13,0.08,0.11,-0.27,0.2,0.18,0.06,0.01,-0.05,0.18,-0.54,-0.07
"YHR016C",0.25,-0.09,-0.12,-0.1,0.11,0.45,0.59,0.4,0.11,-0.39,0.02,-0.26,-0.22,-0.17,-0.02,-0.03,0.18,-0.26,-0.15,-0.17,0.03,-0.22,-0.36,-0.38,-0.17,-0.34,0.03,-0.5,-0.01,-0.13,-0.12,-0.29,-0.15,-0.04,0.12,0.18,0.31,-0.32,0.08,-0.27,0.5,0.35,1.09,0.16,-0.1,0.35,0.91,-0.6,-1.21,-0.17,-0.44,-0.6,-0.55,-0.01,0.11,0.37,0.7,0.41,0.47,-0.07,0.13,-0.03,0.58,0.69,0.03,-0.09,-0.32,-0.74,-1.08,-0.62,-0.05,0.46,0.07,-0.18,0.7,0.76,0.36
"YHR017W",-0.03,0.1,-0.22,0.16,0.08,0.17,0.24,-0.16,0.05,-0.13,0.1,-0.1,-0.08,0.22,-0.05,0.16,-0.05,-0.16,-0.02,-0.2,-0.01,-0.04,-0.45,-0.06,0.06,0.02,-0.41,0.01,-0.12,0.16,-0.29,0.16,0.2,-0.04,0.02,0.23,-0.25,0.12,-0.52,0.01,0.01,-0.07,0.27,0.26,0.31,0.4,-0.23,-0.45,-0.29,0.17,-0.18,-0.18,-0.09,0.17,0.17,0.69,0.01,-0.17,-0.03,,0.29,-0.21,0.33,0.3,-0.67,-0.27,-0.31,-0.27,-0.08,0.04,0.39,0.41,0.21,0.37,0.33,-0.14,-0.31
"YHR018C",-0.23,-0.32,0.24,-0.43,0.68,1.03,0.73,-0.11,-0.29,-0.72,-0.14,-0.66,-0.28,-0.19,0.19,0.06,0.14,-0.37,0.05,-0.18,0.1,-0.01,-0.79,-0.68,-0.68,0.01,-0.11,-0.25,-0.41,-0.24,-0.39,0.19,-0.33,0.29,0.05,0.31,-0.16,0.01,-0.1,-0.05,-0.52,0.2,0.19,1.01,1.11,1.34,-0.46,-0.68,-0.84,-0.63,-0.21,-0.03,-0.39,-0.58,-0.31,-0.22,0.21,0.62,0.79,,0.8,0.89,1.01,-0.53,-0.06,-0.1,-0.29,-0.06,-0.41,-0.51,-0.03,0.21,0.24,0.12,0.68,0.41,0.33
"YHR019C",-0.04,0.29,-0.27,-0.79,0.08,-0.43,-0.09,-0.09,0.09,-0.2,0.18,-0.06,0.08,0.24,-0.01,0.1,-0.05,-0.08,0.08,0.08,0.15,-0.04,-0.2,0.02,0.13,0.28,-0.27,0.43,0.04,0.31,0.04,0.37,-0.09,0.22,-0.24,0.1,0.1,0.17,-1.49,0.13,0,-0.29,0.26,0.11,-0.09,-0.05,-0.83,-0.32,0.03,-0.25,-0.25,0.01,0,-0.11,0.06,0.36,0.21,0.33,0.22,,0.32,0.09,0.12,-1.02,-0.83,-0.26,-0.08,0.25,0.26,0.03,0.63,0.42,0.41,-0.12,0.19,0.09,0.04
"YHR020W",0.25,0.42,0.38,-0.22,-0.53,-0.96,-0.42,-0.3,0.08,-0.28,0.36,-0.06,0.23,0.08,0.15,0.21,0.32,0.08,0.32,0.32,0.21,0.19,0.03,0.2,0.28,0.38,0.59,0.32,0.14,0.22,0.28,0.2,-0.15,0.03,-0.11,-0.11,-0.67,-0.06,-0.06,-0.04,-0.17,-0.11,-0.13,-0.23,-0.4,-0.44,-0.49,-0.01,0.47,0.18,-0.18,-0.16,-0.19,-0.39,-0.11,0.25,-0.04,-0.02,0.18,0.11,,0.19,0.22,-1.51,-0.36,-0.27,-0.04,0.46,0.29,0.36,0.52,0.51,0.58,-0.13,0.03,-0.26,-0.18
"YHR021C",-0.14,-0.76,-0.42,0.06,0.09,-0.42,-0.08,-0.23,0.07,-0.31,0.45,-0.38,-0.05,0.35,-0.12,-0.08,0.12,0.01,0.36,-0.01,0.24,-0.01,0.15,0.05,-0.04,0.12,-0.12,0.3,0.12,0.15,-0.2,0.15,0,0.12,-0.04,0,0.01,-0.14,-0.54,0.21,-0.07,-0.3,0.25,-0.04,-0.11,-0.05,-0.19,-0.17,0.46,0.13,-0.06,-0.43,-0.18,-0.36,-0.43,,0.11,-0.04,0.02,0.16,0.09,0.43,0.45,-1.07,-0.22,-0.07,-0.02,0.55,0.25,0.16,0.41,0.19,0.21,-0.07,-0.16,-0.15,0
"YHR021W-A",-0.84,,,-0.09,,,,,,,,,,,,,,,,,,,0.99,0.84,0,-0.28,0.11,-0.18,0.53,0.05,-0.07,-0.08,0.06,0.42,0.04,-0.25,-0.2,-0.75,-0.03,-0.77,0.69,0.04,0.44,-0.7,-0.57,-0.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"YHR022C",0.34,-1.4,-0.38,-0.18,0.25,0.22,0.22,-0.3,0.23,-0.51,0.25,-0.03,0.2,0.01,-0.03,-0.22,0.32,-0.28,-0.18,-0.28,0.29,-0.16,0.42,0.57,-0.26,-0.26,0.6,0.02,0.79,0.41,0.29,-0.11,0.12,-0.09,0.8,-0.44,,-1.16,,-0.2,,0.15,,-0.76,-0.2,-0.67,1.08,0.09,-0.51,-0.87,-1.25,-0.87,-0.6,-0.32,0.17,0.77,0.53,0.37,0.56,0,-0.15,0.26,0.74,1.45,0.09,-0.2,-0.31,0.06,-0.07,0.02,0.06,0,-0.25,0.21,-0.23,-0.59,-0.25
"YHR023W",0.57,,,1.68,-0.93,-0.86,-0.46,-1.19,-0.8,-0.26,0.55,0.73,0.99,0.64,0.34,0.15,-0.57,-0.39,0.45,0.63,0.14,0.83,-0.77,-0.86,-1.07,0.1,0.28,0.91,0.97,0.97,-0.18,-0.01,0.01,-0.22,-0.23,-0.39,-0.29,0.14,-0.07,-0.77,0.63,1.12,0.42,-0.13,-0.23,-0.31,-0.93,-1.29,-1.01,-0.99,-0.15,0.44,1.04,0.9,0.56,0.38,0.02,-0.23,-0.36,,0.45,0.52,0.67,-1.1,-0.52,-0.32,-0.5,-0.32,-0.38,-0.13,0.29,0.6,0.61,0.54,0.7,-0.02,0.56
"YHR024C",-0.23,0.1,-0.14,0.3,0.13,-0.11,0.18,0.05,-0.13,-0.26,-0.02,-0.14,0.33,-0.04,0.24,0.18,0.1,-0.18,-0.08,0,-0.26,0.02,-0.04,-0.38,-0.53,0.46,-0.07,-0.19,-0.29,0.09,-0.03,0.47,-0.03,0.36,-0.13,0.04,0.01,-0.1,-0.03,-0.14,-0.05,-0.19,0.42,0.19,0.01,0.16,-0.16,0.06,-0.06,-0.51,-0.47,-0.12,-0.29,-0.34,0.29,0.27,0.47,0.42,0.16,0.04,0.29,-0.01,-0.04,-0.9,-0.56,-0.22,-0.14,-0.32,0.01,0.14,0.41,0.27,0.45,0.03,0.21,0.34,0.28
"YHR025W",-0.3,-1.51,,-0.34,0.05,0.18,-0.07,-0.04,-0.01,0.18,0.1,0.01,0.18,0.05,-0.1,-0.05,0.01,-0.37,0.12,-0.04,-0.1,-0.1,-0.29,-0.15,-0.24,-0.05,0.62,-0.25,0.31,-0.27,0.62,-0.37,0.16,-0.15,0.22,-0.16,0.48,-0.37,0.32,-0.06,0.83,-0.06,0.61,-0.78,-0.37,-0.59,-0.16,-0.26,-0.06,0.14,0.19,0.07,0.16,-0.15,-0.08,0.42,0.07,-0.06,-0.22,,0.01,0.01,-0.06,-1.62,0.03,0.07,-0.03,0.14,0.31,0.25,0.39,0.07,0.43,-0.07,-0.15,-0.12,0.29
"YHR026W",-0.07,-0.01,-0.18,-0.47,0.03,-0.23,-0.08,0.08,0,0.19,0.11,0.12,0.19,-0.2,0.14,-0.13,0.16,-0.13,0.06,-0.08,-0.11,-0.13,-0.57,-0.53,-0.4,0.15,0.48,0.15,0.2,0.08,0.64,0.05,0.09,0.17,0.3,0.23,-0.43,0.04,0.21,0.32,0.57,-0.71,-0.55,-0.09,-0.3,-0.08,-0.5,-0.42,-0.12,0.06,-0.23,-0.15,0.14,0.11,0.01,0.52,0.18,0.02,,-0.04,0.17,0.17,0.08,-0.13,-0.1,-0.05,-0.04,-0.19,-0.09,0.12,0.28,0.09,0.14,0.11,-0.02,-0.02,-0.09
"YHR027C",0.29,,,0.43,-0.28,0.09,0.1,0.2,-0.25,-0.06,-0.03,-0.11,0.09,0.44,0.36,0.04,-0.16,-0.44,0.1,0.25,-0.34,0,-0.02,-0.14,-0.06,0.15,-0.54,0.16,0.09,0.06,-0.63,0.32,-0.04,0.11,-0.31,0.18,-0.34,0.32,-0.22,0.29,-0.54,-0.18,0.15,0.34,0.4,0.43,-0.08,-0.26,-0.11,0,-0.32,-0.34,0.13,0.07,-0.03,0.43,0.41,0.08,0.05,-0.03,,-0.07,0.08,-0.04,0.35,0.22,-0.05,-0.57,-0.19,-0.04,0.27,0.09,0.02,-0.08,0.03,-0.04,0.02
"YHR028C",0.26,0.16,0.03,-0.25,0.05,0.08,0.2,0.2,0.17,0,-0.1,-0.14,0.15,-0.14,0.06,-0.07,0.05,-0.18,0,0.12,-0.42,-0.03,0.34,0.18,0.1,-0.08,0.47,-1.33,0.04,-0.04,0.29,-0.38,0.01,0.22,0.45,0.27,0.18,-0.25,0.37,-0.27,0.58,0.44,0.29,-0.38,-0.93,-0.59,0.14,-0.1,-0.26,-0.16,-0.49,-0.53,0.12,0.24,0.07,0.28,0.09,0.02,0.02,,0.3,0.09,0.18,0.33,0.22,0.16,0.05,-0.59,-0.37,-0.13,-0.04,-0.04,0.07,-0.16,0.14,0.3,0.05
"YHR029C",-0.07,,,-0.23,-0.48,0.06,-0.21,-0.19,-0.37,0.21,-0.02,0.14,0.25,0.31,0,0.03,-0.02,-0.17,0.09,0.2,0.02,0.15,-0.58,-0.91,-0.62,-0.13,0.06,-0.08,0.23,0,0.16,-0.18,-0.11,-0.13,-0.24,-0.02,0.53,0.09,-0.31,0.25,0.27,0.58,0.52,0.18,0.11,0.35,-0.43,-0.63,-0.86,-0.63,-0.67,-0.48,0.17,0.26,0.19,0.04,0.47,0.21,0.26,0.32,,0.86,0.93,0.43,0.39,0.2,-0.06,0.15,-0.1,-0.18,0.02,-0.36,-0.25,0.06,-0.09,-0.25,0.04
"YHR030C",-0.36,0.5,-1,-0.62,1.46,0.17,-0.15,-0.18,-0.09,0.1,0.23,-0.09,0.07,-0.37,-0.29,-0.37,-0.08,-0.25,0,0.34,-0.37,-0.12,0.03,0.09,1.31,0.75,0.14,0.08,-0.48,-0.22,-0.44,0.15,-0.24,0.26,-0.39,0.09,-0.48,-0.24,-0.33,-0.08,-0.55,-0.62,-0.39,0.41,0.62,0.53,-0.08,-0.8,-0.38,0.24,0.28,0.45,0.38,0.19,-0.16,-0.5,0.11,0.05,0.08,,0,-0.06,0.2,0.19,0.11,-0.12,-0.04,-0.22,-0.02,0.02,0.07,-0.23,0.17,-0.14,-0.08,0.23,0.05
"YHR031C",0.31,,,1.1,-0.41,-0.39,-0.52,-0.46,-0.01,0.27,0.06,0.04,0.27,0.09,-0.11,0.09,0.09,0.04,0.15,0.42,0.09,0.27,-0.25,-0.05,-0.03,0.5,0.13,-0.49,0.1,0.19,0,-0.38,-0.02,0.14,-0.07,0.24,-0.12,-0.46,,-0.35,0.57,0.13,1.33,-0.66,0.05,-0.49,-0.11,-0.23,-0.45,-0.23,0.07,0.77,0.05,0.03,0.33,-0.85,-0.51,0.23,0.68,0.33,0.42,-0.15,-0.39,-0.74,0.36,0.26,0,0.03,0,-0.03,0.37,0.07,0.05,0.15,-0.06,-0.51,0.05
"YHR032W",-0.58,-0.04,-0.36,0.33,0.1,,-0.66,-0.27,-0.09,0.21,-0.01,0.17,0.14,-0.11,-0.09,0.14,0.17,0.17,0.1,0.25,-0.21,-0.02,0.38,0.13,-0.04,0.18,-0.24,0.36,-0.34,0.26,0.3,0.23,-0.28,0.05,0.14,-0.04,0.1,0.25,0.02,0.14,0.01,-0.42,0.08,-0.24,-0.42,-0.62,-0.17,-0.17,-0.41,-0.51,-0.31,0.25,0.02,0.02,0.26,-0.54,-0.13,0.19,0.79,0.36,0.36,,,-0.84,-0.11,0.15,0.5,0.26,0.16,0.15,0.17,-0.3,0.07,-0.19,-0.14,-0.22,0.32
"YHR033W",0.12,,,-0.06,-0.31,0,0.12,0.2,-0.04,0,-0.34,-0.04,0.05,0.48,0.08,-0.25,0.14,-0.12,0.03,0.14,-0.12,0,-0.06,-0.03,-0.13,0.19,-0.11,0.42,-0.12,0.3,0.15,0.38,-0.41,0.02,-0.56,-0.09,-0.02,0.29,0.61,-1.09,0.52,-0.06,0.13,-0.23,-0.04,-0.05,-0.36,-0.16,0.61,0.6,0.21,0.33,0,0.01,0.43,-0.28,-0.54,-0.4,0,-0.27,-0.19,,,-0.99,1.37,-0.35,0.62,0.19,0.2,-0.15,0.42,-0.24,-0.22,-0.39,-0.32,-0.24,0.07
"YHR034C",-0.56,-0.36,-0.15,0.31,-0.12,,0.11,-0.09,-0.07,0.09,-0.09,-0.07,0.06,0.14,0.1,-0.17,0.06,-0.26,0.16,0.28,-0.34,0.21,-0.56,0.23,0.06,0,0.08,-0.1,0.29,0.09,0.35,0.25,0.06,-0.03,0.06,-0.07,0.05,-0.19,-0.15,-0.38,0.05,0.05,0.23,-0.05,-0.12,-0.19,0.89,-0.02,-0.22,0.02,0.17,0.37,0.15,0.17,0.04,-0.15,-0.4,-0.15,-0.02,0.04,-0.23,-0.38,-0.27,-0.27,0.31,0.47,0.55,0.2,-0.21,-0.01,0.09,-0.21,-0.07,-0.05,-0.23,-0.45,-0.13
"YHR035W",0.23,-0.69,,-0.09,-0.13,0.3,0.33,0.08,,-0.26,-0.1,-0.22,,0.1,0.22,-0.07,-0.07,-0.26,0.33,-0.01,-0.07,-0.21,0.2,0.27,0.13,0.06,-0.03,-0.22,-0.29,-0.18,2.16,0.01,-0.07,-0.13,-0.11,-0.09,-0.43,0.06,0.06,-1.85,0.43,0.25,0.13,-0.2,-0.03,-0.13,0.24,0.1,0.1,-0.28,-0.05,-0.05,0.05,-0.11,0.19,-0.22,-0.05,-0.05,0.1,0.1,-0.11,0.05,0,0.5,-0.22,-0.05,0.43,0.2,-0.01,0.52,-0.26,-0.43,-0.05,0.15,0.01,-0.68,-0.11
"YHR036W",0.06,-0.64,0.03,0.08,0.01,,-0.2,0.96,0.01,-0.35,0.1,0.13,-0.15,0.24,-0.2,-0.04,0.02,-0.24,-0.13,-0.13,-0.04,0.02,0.34,0.64,0.19,-0.09,-0.11,0.09,-0.57,-0.02,0.12,0.04,-0.2,0.3,0.07,0.28,0.37,-1.59,0.28,-0.02,0.41,0.15,0.4,-0.41,-0.16,-0.5,0.09,0.1,0.15,0.15,0.17,0.31,0.14,0.12,-0.05,-0.1,-0.46,-0.17,-0.14,0.13,,-0.21,-0.24,-0.25,0.05,-0.27,0,0.07,0.02,0.16,0.23,0.11,0.19,-0.23,0.26,-0.1,-0.25
"YHR037W",-0.4,-0.27,-0.14,-0.14,-0.07,-0.08,0.3,0.34,0.14,-0.34,0.35,0.03,0.23,-0.09,0.03,0.02,0.04,-0.5,0.07,-0.27,-0.02,-0.18,-0.75,-1.51,-0.96,-0.16,-0.28,0.15,-0.19,0.02,-0.26,0.21,-0.29,0.19,-0.18,0.32,0.06,0.45,0.16,0.43,-0.15,0.02,-0.04,0.94,0.79,1.04,0.52,-0.55,-1.57,-1.1,-0.74,-0.13,-0.22,0.08,0.51,0.26,0.54,0.68,0.43,0.49,0.82,,,-0.62,0.03,-0.2,0.08,-0.18,-0.14,0.07,-0.01,0.2,0.23,-0.21,0.2,0.34,0.21
"YHR038W",-0.01,-0.81,0.06,-0.23,0.3,-0.09,0.3,0.45,0.33,-0.12,0.01,-0.12,-0.1,-0.23,-0.07,0.06,0.15,-0.23,-0.25,-0.37,0.12,-0.16,-0.19,0.05,-0.18,-0.22,-0.38,-0.12,-0.12,0.08,0.08,0.37,-0.03,0.3,-0.16,0.08,-0.42,-0.11,0.1,0.01,-0.44,0.23,0.17,0.24,0.27,0.39,0.42,0.2,-0.17,-0.57,-0.35,-0.5,-0.17,-0.17,0.26,0.44,0.52,0.27,-0.22,0.07,,0.04,-0.07,0.3,0.09,-0.05,-0.12,-0.12,-0.26,-0.07,0.09,0.04,-0.2,0.38,0,0.12,-0.2
"YHR039C",-0.4,-1.06,-0.4,0.23,0.08,-0.42,-0.23,-0.07,-0.11,-0.09,0.2,-0.33,-0.03,0.23,0.3,0.39,0.34,-0.09,0.1,-0.09,-0.07,-0.13,-0.41,0.04,-0.14,-0.41,-0.16,-0.02,-0.03,0.05,0.08,0.76,0.72,0.82,0.48,0.18,-0.08,-0.16,-1.22,-0.22,-0.01,-0.63,0.56,0.23,-0.12,-0.3,-0.31,-1.27,-0.99,-0.36,-0.4,-0.21,0.11,0.04,0.22,0.71,0.87,0.5,0.56,0.04,,0.05,0.43,-1.04,-0.08,0.17,0.4,0.01,-0.1,-0.2,0.21,-0.05,0.05,-0.05,0.08,0.09,0.5
"YHR039C-A",-0.45,,,0.15,,,,,,,,,,,,,,,,,,,-0.22,0.32,0.04,0.96,-0.08,-0.36,0.12,0.27,-0.18,-0.49,-0.15,0.29,-0.26,0.54,0.07,-0.51,-0.8,-0.44,-0.03,1.16,0.07,-0.44,-0.08,0.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
